GenericName	TradeName	DateDesignated	OrphanDesignation	OrphanDesignationStatus	FDAOrphanApprovalStatus	SponsorCompany
romidepsin	Istodax	9/30/2004	Treatment of non-Hodgkin T-cell lymphomas	Designated/Approved		Celgene Corporation
romidepsin	Istodax	9/30/2004	Treatment of non-Hodgkin T-cell lymphomas	Designated/Approved		Celgene Corporation
trabectedin	Yondelis	9/30/2004	Treatment of soft tissue sarcoma	Designated/Approved		"Janssen Research & Development, LLC"
N-[2-[(4-hydroxyphenyl)amino]-3-pyridinyl]-4-methoxybenzenesulfonamide		9/30/2004	Treatment of neuroblastoma	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"AbbVie, Inc."
plitidepsin		9/30/2004	Treatment of multiple myeloma	Designated	Not FDA Approved for Orphan Indication	"PharmaMar USA, Inc."
Nitric oxide		9/27/2004	To reduce the risk of chronic lung disease in premature neonates	Designated	Not FDA Approved for Orphan Indication	Mallinckrodt Pharmaceuticals Ireland Ltd.
thalidomide		9/27/2004	Treatment of myelodysplastic syndrome	Designated	Not FDA Approved for Orphan Indication	Celgene Corporation
Human anti-CD30 monoclonal antibody		9/27/2004	Treatment of Hodgkin's disease	Designated	Not FDA Approved for Orphan Indication	"Bristol-Myers Squibb, Inc."
Immune Globulin Subcutaneous (Human)		9/22/2004	Treatment of patients with primary immune deficiency (PID) that are intolerant to immune globulin intravenous (IGIV) due to severe adverse events or poor venous access	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	CSL Behring
Coagulation factor VIIa (recombinant)	NovoSeven	9/10/2004	Prevention of bleeding episodes in patients with congenital Factor VII deficiency	Designated/Approved		"Novo Nordisk, Inc."
Coagulation factor VIIa (recombinant)	NovoSeven	9/10/2004	Treatment of bleeding episodes in patients with congenital factor VII deficiency	Designated/Approved		"Novo Nordisk, Inc."
L-tyrosine-L-serine-L-leucine		9/10/2004	Treatment of hepatocellular carcinoma.	Designated	Not FDA Approved for Orphan Indication	CMS Peptides Patent Holding Company Limited
Tanespimycin		9/9/2004	Treatment of multiple myeloma	Designated	Not FDA Approved for Orphan Indication	Bristol-Myers Squibb
Buffered Ursodeoxycholic Acid		9/3/2004	Treatment of pruritus in patients with Alagille Syndrome	Designated	Not FDA Approved for Orphan Indication	"Digestive Care, Inc."
17-allylamino-17-demethoxygeldanamycin (17-AGG)		9/3/2004	Treatment of chronic myelogenous leukemia	Designated	Not FDA Approved for Orphan Indication	Bristol-Myers Squibb Company
Nine amino acid polypeptide derived from proteinase 3		9/3/2004	Treatment of myelodysplastic syndromes requiring therapy	Designated	Not FDA Approved for Orphan Indication	The Vaccine Company
A10 & AS2-1 Antineoplaston		9/3/2004	Treatment for patients with brain stem glioma	Designated	Not FDA Approved for Orphan Indication	"Burzynski Research Institute, Inc."
Autologous incubated macrophage		9/3/2004	Therapy to improve the motor and sensory neurological outcome in acute cases of spinal cord injury	Designated	Not FDA Approved for Orphan Indication	"Proneuron Biotechnologies, Inc."
heat killed Mycobacterium w immunomodulator		9/3/2004	Active tuberculosis	Designated	Not FDA Approved for Orphan Indication	"Cadila Pharmaceuticals Limited, Inc."
Nine amino acid polypeptide derived from proteinase 3		9/3/2004	Treatment of chronic myelogenous leukemia.	Designated	Not FDA Approved for Orphan Indication	The Vaccine Company
Nine amino acid polypeptide derived from proteinase 3		9/3/2004	Treatment of acute myelogenous leukemia	Designated	Not FDA Approved for Orphan Indication	The Vaccine Company
Alpha1-Proteinase Inhibitor (Human)		9/1/2004	Treatment of cystic fibrosis	Designated	Not FDA Approved for Orphan Indication	Kamada Ltd.
ataluren		9/1/2004	For use in the treatment of cystic fibrosis resulting fron a nonsense (premature stopcodon) mutation in the cystic bibrosis transmembrane conductance regulatory gene	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"PTC Therapeutics, Inc."
Allogeneic retinal epithelial cells transfected with plasmid vector expressing ciliary neurotrophic growth factor		9/1/2004	Treatment of retinitis pigmentosa	Designated	Not FDA Approved for Orphan Indication	"Neurotech USA, Inc."
Implitapide		8/19/2004	Treatment of patients with Fredrickson type I or V hyperlipoproteinemia	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	Medical Research Laboratories International
Nucleic acid aptamer binding to tumor cell nucleolin		8/17/2004	Treatment of pancreatic cancer	Designated	Not FDA Approved for Orphan Indication	Antisoma Research Ltd.
Iloprost inhalation solution	Ventavis	8/17/2004	Treatment of pulmonary arterial hypertension	Designated/Approved		"CoTherix, Inc."
meclorethamine	Valchlor	8/17/2004	Treatment of mycosis fungoides	Designated/Approved		Helsinn Birex Pharmaceuticals Ltd.
human anti-CD4 monoclonal antibody		8/13/2004	Treatment of mycosis fungoides	Designated	Not FDA Approved for Orphan Indication	"Emergent Product Development Seattle, LLC"
"N-[4-(4-amino-2-ethyl-1H-imidazo[4,5-c]quinolin-1-yl)butyl]methanesulfonamide"		8/13/2004	Treatment of stages IIB-IV melanoma	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"Pfizer, Inc."
"(6R,S)5,10-methylene-tetrahydrofolic acid"		8/13/2004	For use in combination with 5-fluorouracil for the treatment of patients with pancreatic cancer	Designated	Not FDA Approved for Orphan Indication	"Adventrx Pharmaceuticals, Inc."
"(1S)-1-(9-deazahypoxanthin-9-yl)-1,4-dideoxy-1,4-imino-D-ribitol-hydrochloride"		8/13/2004	Treatment of acute lymphoblastic leukemia	Designated	Not FDA Approved for Orphan Indication	Mundipharma Research Limited
dacetuzumab		8/13/2004	Treatment of multiple myeloma.	Designated	Not FDA Approved for Orphan Indication	"Seattle Genetics, Inc."
Implitapide		8/13/2004	Treatment of homozygous familial hypercholesterolemia	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	Medical Research Laboratories International
dexanabinol		8/11/2004	For the attenuation or amelioration of the long-term neurological sequelae associated with moderate and severe traumatic brain injury	Designated	Not FDA Approved for Orphan Indication	Pharmos Corporation
"(1S)-1-(9-deazahypoxanthin-9-yl)-1,4-dideoxy-1,4-imino-D-ribitol-hydrochloride"		8/10/2004	"Treatment of chronic lymphocytic leukemia and related leukemias to include prolymphocytic leukemia, adult T-cell leukemia, and hairy cell leukemia"	Designated	Not FDA Approved for Orphan Indication	Mundipharma Research Ltd.
nelarabine	Arranon	8/10/2004	Treatment of acute lymphoblastic leukemia and lymphoblastic lymphoma	Designated/Approved		Novartis Pharmaceuticals Corp.
efaproxiral		7/28/2004	Adjunct to whole brain radiation therapy for the treatment of brain metastases in patients with breast cancer	Designated	Not FDA Approved for Orphan Indication	"Allos Therapeutics, Inc."
Immune Globulin (Human)	Gamunex-C	7/27/2004	Treatment of chronic inflammatory demyelinating polyneuropathy	Designated/Approved		"Grifols Therapeutics, Inc."
Multi-ligand somatostatin analog		7/27/2004	"Treatment of patients with functional gastroenteropancreatic (GEP) neuroendocrine tumors (specifically, carcinoid, insulinoma, gastrinoma, somastatinoma, GRFoma, VIPoma and glucagonoma."	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	Novartis Pharmaceuticals Corporation
Coagulation factor VIIa (recombinant)	NovoSeven	7/21/2004	Prevention of bleeding episodes in patients with acquired inhibitors to Factor VIII or Factor IX	Designated/Approved		"Novo Nordisk, Inc."
Coagulation Factor VIIa (Recombinant)	NovoSeven	7/16/2004	Treatment of bleeding episodes in patients with acquired inhibitors to Factor VIII or Factor IX	Designated/Approved		"Novo Nordisk, Inc."
Doripenem		7/16/2004	Treatment of bronchopulmonary infection in patients with cystic fibrosis who are colonized with Pseudomonas aeruginosa or Burkholderia cepacia.	Designated	Not FDA Approved for Orphan Indication	"Shionogi, Inc."
Immortalized human liver cells found in the extracorporeal liver assist device		7/16/2004	Treatment of fulminant hepatic failure (acute liver failure)	Designated	Not FDA Approved for Orphan Indication	"Vital Therapies, Inc."
posaconazole		7/16/2004	Treatment of zygomycosis	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	Merck Sharp & Dohme LLC
C1 esterase inhibitor (human)	Cinryze	7/16/2004	Treatment of angioedema	Designated/Approved		"Takeda Development Center Americas, Inc."
ambrisentan	Letairis	7/16/2004	Treatment of pulmonary arterial hypertension	Designated/Approved		Gilead Colorado
C1 esterase inhibitor (human)	Cinryze	7/16/2004	Treatment of angioedema	Designated/Approved		"Takeda Development Center Americas, Inc."
"human anti-transforming growth factor-B1,2,3"		7/9/2004	Treatment of idiopathic pulmonary fibrosis	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	Genzyme Corporation
Melatonin		7/9/2004	Treatment of non-24-hour sleep-wake disorder in blind individuals without light perception	Designated	Not FDA Approved for Orphan Indication	"Neurim Pharmaceuticals, Ltd."
Tipifarnib		7/6/2004	Treatment of acute myeloid leukemia	Designated	Not FDA Approved for Orphan Indication	Johnson & Johnson Pharmaceutical Research & Dev.
Vaccinia Immune Globulin (Human) Intravenous		6/18/2004	Treatment of severe complications from the smallpox vaccine	Designated/Approved		DynPort Vaccine Company LLC
liarozole		6/18/2004	Treatment of congenital ichthyosis	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"Stiefel Laboratories, Inc."
Plitidepsin		6/18/2004	Treatment of acute lymphoblastic leukemia	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"PharmaMar USA, Inc"
sarsasapogenin		6/18/2004	Treatment of amyotrophic lateral sclerosis (ALS)	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	Phytopharm plc
Coagulation factor VIIa (recombinant)	NovoSeven	6/18/2004	"Prevention of bleeding episodes in patients with hemophilia A or B, with or without inhibitors"	Designated/Approved		"Novo Nordisk, Inc."
coagulation factor VIIa (recombinant)	NovoSeven RT	6/18/2004	Treatment of bleeding episodes in Glanzmann's thrombasthenia	Designated/Approved		Novo Nordisk Inc.
Vaccinia Immune Globulin (Human) Intravenous	CNJ-016	6/18/2004	Treatment of complications of vaccinia vaccination	Designated/Approved		Cangene Corporation
Coagulation factor VIIa (recombinant)		6/18/2004	Prevention of bleeding episodes in Glanzmann's thrombasthenia	Designated	Not FDA Approved for Orphan Indication	"Novo Nordisk, Inc."
ipilimumab	Yervoy	6/3/2004	"Treatment of high risk Stage II, Stage III, and Stage IV melanoma"	Designated/Approved		Bristol-Myers Squibb Company
ipilimumab	Yervoy	6/3/2004	"Treatment of high risk Stage II, Stage III, and Stage IV melanoma"	Designated/Approved		Bristol-Myers Squibb Company
ipilimumab	Yervoy	6/3/2004	"Treatment of high risk Stage II, Stage III, and Stage IV melanoma"	Designated/Approved		Bristol-Myers Squibb Company
ipilimumab	Yervoy	6/3/2004	"Treatment of high risk Stage II, Stage III, and Stage IV melanoma"	Designated/Approved		Bristol-Myers Squibb Company
quinine Sulfate		6/3/2004	Treatment of malaria	Designated/Approved		"AR Holding Company, Inc."
Thymosin beta 4		5/28/2004	Treatment of epidermolysis bullosa	Designated	Not FDA Approved for Orphan Indication	"HLB Therapeutics Co., Ltd"
mepolizumab	NUCALA®	5/28/2004	Treatment of hypereosinophilic syndrome	Designated/Approved		GlaxoSmithKline LLC
Diethylnorspermine (DENSPM)		5/25/2004	Treatment for hepatocellular carcinoma	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	Genzyme Corporation
icatibant		5/5/2004	Treatment of burn patients hospitalized with burn-induced edema	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	Shire Human Genetic Therapies
Immune Globulin Intravenous (human)		5/4/2004	Treatment for Guillain Barre Syndrome	Designated	Not FDA Approved for Orphan Indication	ZLB Bioplasma AG
Diethylenetriaminepentaacetic acid (DTPA)		4/28/2004	"Treatment of patients with known or suspected internal contamination with plutonium, americium, or curium to increase the rates of elimination."	Designated/Approved		Hameln Pharmaceuticals gmbh
mannopentaose phosphate sulfate		4/27/2004	"Treatment of high-risk Stage II, Stage III, and Stage IV melanoma"	Designated	Not FDA Approved for Orphan Indication	Medigen Biotechnology Corp.
temocillin sodium		4/21/2004	Treatment of pulmonary infections caused by Burkholderia cepacia	Designated	Not FDA Approved for Orphan Indication	Belpharma S.A.
Fluoxetine		4/14/2004	Treatment of body dysmorphic disorder in children and adolescents	Designated	Not FDA Approved for Orphan Indication	"Hollander, Eric MD"
Deferitrin		4/14/2004	Treatment of iron overload	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	Genzyme Corporation
etaracizumab		4/14/2004	"For the treatment of of stage IIb, stage IIc, stage III and stage IV melanoma"	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"MedImmune, LLC"
diethylenetriaminepentaacetate (DPTA)		4/14/2004	"For treatment of patients with known or suspected internal contamination with plutonium, americium or curium to increase the rates of elimination."	Designated	Not FDA Approved for Orphan Indication	CIS-US
ubiquinol		4/12/2004	Treatment of Huntington's Disease	Designated	Not FDA Approved for Orphan Indication	"Gel-Tec, Division of Tishcon Corp."
pentetate trisodium		4/12/2004	"Treatment of patients with known or suspected internal contamination with plutonium, americium, or curium."	Designated	Not FDA Approved for Orphan Indication	Heyl Chemisch-Pharmazeutische Fabrik GMBH & Co. KG
"Ubiquinol, coenzyme Q10, ubiquinone"		4/12/2004	Treatment of pediatric congestive heart failure	Designated	Not FDA Approved for Orphan Indication	"Gel-Tec, Division of Tishcon Corporation"
Hydralazine		4/9/2004	Treatment of severe intrapartum hypertension (diastolic blood pressure greater than or equal to 110 or systolic blood pressure greater than or equal to 160) associated with severe preeclampsia/eclampsia of pregnancy	Designated	Not FDA Approved for Orphan Indication	Bioniche Pharma USA LLC
Vapreotide		4/6/2004	Treatment of symptomatic carcinoid tumors	Designated	Not FDA Approved for Orphan Indication	"H3 Pharma, Inc."
idebenone		3/25/2004	Treatment of Friedreich's ataxia	Designated	Not FDA Approved for Orphan Indication	Chiesi Farmaceutici S.p.A.
dexrazoxane	Totect(r)	3/25/2004	Treatment of anthracycline extravasation during chemotherapy	Designated/Approved		"Clinigen, Inc."
Alpha-1-acid glycoprotein		3/17/2004	Treatment of tricyclic antidepressant poisoning	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	Bio Products Laboratory
